rank,empire_name,influence_score,lifespan_rank,historical_rank
1211,Scientific Solex Union,13.0,1211,1211
1212,Scientific Eta-galacticis Union,13.0,1212,1212
1213,Unified Aurelan Council,13.0,1213,1213
1214,Aurelari Directorate,13.0,1214,1214
1215,Unified Kaelumex Council,13.0,1215,1215
1216,The Tau-galacticis Federation,13.0,1216,1216
1217,Unified Sagittariite Council,13.0,1217,1217
1218,Aurelis Commonwealth,13.0,1218,1218
1219,Sigma-bulgis Directorate,13.0,1219,1219
1220,Unified Aurelis Council,13.0,1220,1220
1221,Allied Chi-perseis Systems,10.0,1221,1221
1222,Allied Elysiis Systems,10.0,1222,1222
1223,Unified Xenan Council,10.0,1223,1223
1224,Unified Bulgan Council,10.0,1224,1224
1225,Zelex Directorate,10.0,1225,1225
1226,Scientific Merex Union,10.0,1226,1226
1227,Unified Merite Council,10.0,1227,1227
1228,Consolidated Cygnian Worlds,10.0,1228,1228
1229,Merian Directorate,10.0,1229,1229
1230,Unified Valite Council,10.0,1230,1230
1231,Zylarian Commonwealth,10.0,1231,1231
1232,ec5efdeb2d,10.0,1232,1232
1233,9aa2eff7c3,10.0,1233,1233
1234,abb26e55dc,10.0,1234,1234
1235,77811a2fa9,10.0,1235,1235
1236,984d4d4161,10.0,1236,1236
1237,08d81107e6,10.0,1237,1237
1238,778b8b68c3,10.0,1238,1238
1239,529174abfd,10.0,1239,1239
1240,d340e67e88,10.0,1240,1240
1241,71073d1e77,10.0,1241,1241
1242,62a7129a59,10.0,1242,1242
1243,9d449a31b9,10.0,1243,1243
1244,7dc225fd37,10.0,1244,1244
1245,d7ec4d3018,10.0,1245,1245
1246,cbdac2fac3,10.0,1246,1246
1247,7fdb421436,10.0,1247,1247
1248,c5f014b287,10.0,1248,1248
1249,ecbe2dc98a,10.0,1249,1249
1250,08caaac3af,10.0,1250,1250
1251,f9c2058d1a,10.0,1251,1251
1252,28728de334,10.0,1252,1252
1253,5fec320399,10.0,1253,1253
1254,0a6e8b3547,10.0,1254,1254
1255,f83f785370,10.0,1255,1255
1256,b9be6a525a,10.0,1256,1256
1257,15955262e1,10.0,1257,1257
1258,939c53fc68,10.0,1258,1258
1259,c3662e3808,10.0,1259,1259
1260,Solex Directorate,10.0,1260,1260
1261,Meris Directorate,10.0,1261,1261
1262,Scientific Orionian Union,10.0,1262,1262
1263,Unified Orionex Council,10.0,1263,1263
1264,Allied Soloid Systems,10.0,1264,1264
1265,Scientific Solan Union,10.0,1265,1265
1266,Unified Zylarian Council,10.0,1266,1266
1267,Scientific Valex Union,10.0,1267,1267
1268,Scientific Rho-perseis Union,10.0,1268,1268
1269,Consolidated Zelis Worlds,10.0,1269,1269
1270,Unified Sagittarian Council,10.0,1270,1270
1271,The Persean Federation,10.0,1271,1271
1272,Primite Directorate,10.0,1272,1272
1273,Aurelian Commonwealth,10.0,1273,1273
1274,Vesperian Directorate,10.0,1274,1274
1275,Unified Bulgite Council,10.0,1275,1275
1276,Kaelumite Commonwealth,10.0,1276,1276
1277,Kaelumis Directorate,10.0,1277,1277
1278,Consolidated Orionian Worlds,10.0,1278,1278
1279,Unified Sigma-orionis Council,10.0,1279,1279
1280,Zylarian Directorate,10.0,1280,1280
1281,Allied Aurelite Systems,10.0,1281,1281
1282,Scientific Xenite Union,10.0,1282,1282
1283,The Kaelumis Federation,8.0,1283,1283
1284,Scientific Orionis Union,8.0,1284,1284
1285,Allied Orionoid Systems,8.0,1285,1285
1286,Vesperan Commonwealth,8.0,1286,1286
1287,Consolidated Xenite Worlds,8.0,1287,1287
1288,Unified Thranan Council,8.0,1288,1288
1289,Consolidated Solite Worlds,8.0,1289,1289
1290,Perseian Commonwealth,8.0,1290,1290
1291,Allied Elysiian Systems,8.0,1291,1291
1292,The Chi-bulgis Federation,8.0,1292,1292
1293,Sagittariite Directorate,8.0,1293,1293
1294,Unified Solite Council,8.0,1294,1294
1295,Vesperite Commonwealth,8.0,1295,1295
1296,Consolidated Zylaris Worlds,8.0,1296,1296
1297,The Galactican Federation,8.0,1297,1297
1298,Allied Zylaris Systems,8.0,1298,1298
1299,Unified Zelex Council,8.0,1299,1299
1300,Scientific Solari Union,8.0,1300,1300
1301,Consolidated Galacticite Worlds,8.0,1301,1301
1302,Unified Theta-orionis Council,8.0,1302,1302
1303,Thranis Commonwealth,8.0,1303,1303
1304,Valari Directorate,8.0,1304,1304
1305,Zeloid Commonwealth,8.0,1305,1305
1306,Scientific Galacticite Union,5.0,1306,1306
1307,Zelis Commonwealth,5.0,1307,1307
1308,Zylarex Directorate,5.0,1308,1308
1309,Allied Orionan Systems,5.0,1309,1309
1310,Chi-bulgis Directorate,5.0,1310,1310
1311,Zelian Directorate,5.0,1311,1311
1312,The Vesperan Federation,5.0,1312,1312
1313,Unified Merian Council,5.0,1313,1313
1314,Unified Solex Council,5.0,1314,1314
1315,The Solari Federation,5.0,1315,1315
1316,Unified Orionari Council,5.0,1316,1316
1317,Xenex Directorate,5.0,1317,1317
1318,Scientific Zelex Union,5.0,1318,1318
1319,Unified Vesperoid Council,5.0,1319,1319
1320,63fff6610a,5.0,1320,1320
1321,626215ebea,5.0,1321,1321
1322,340e3912e2,5.0,1322,1322
1323,d2f4557294,5.0,1323,1323
1324,2b4452e77b,5.0,1324,1324
1325,f6221e08e8,5.0,1325,1325
1326,a866d8dcfc,5.0,1326,1326
1327,edb45b6eec,5.0,1327,1327
1328,3339448f7c,5.0,1328,1328
1329,fcda05fc4e,5.0,1329,1329
1330,02e103d2b6,5.0,1330,1330
1331,460d2edc1f,5.0,1331,1331
1332,8196db66b3,5.0,1332,1332
1333,340ef3ab81,5.0,1333,1333
1334,dbf06f7273,5.0,1334,1334
1335,32d2bbd884,5.0,1335,1335
1336,7ec564c9db,5.0,1336,1336
1337,2e4e7545f5,5.0,1337,1337
1338,28100766c8,5.0,1338,1338
1339,b9ec32251d,5.0,1339,1339
1340,b9c3618013,5.0,1340,1340
1341,75447b1ce9,5.0,1341,1341
1342,Allied Zeta-cygnis Systems,5.0,1342,1342
1343,Scientific Zelan Union,5.0,1343,1343
1344,Allied Sagittarian Systems,5.0,1344,1344
1345,Unified Perseian Council,5.0,1345,1345
1346,Cygnan Directorate,5.0,1346,1346
1347,Orionis Directorate,5.0,1347,1347
1348,Orionex Directorate,5.0,1348,1348
1349,The Aurelan Federation,5.0,1349,1349
1350,Allied Aurelan Systems,5.0,1350,1350
1351,Scientific Zeloid Union,5.0,1351,1351
1352,Scientific Zylaroid Union,5.0,1352,1352
1353,The Aethelgardan Federation,5.0,1353,1353
1354,Allied Thranari Systems,5.0,1354,1354
1355,Gamma-orionis Directorate,5.0,1355,1355
1356,Unified Valoid Council,5.0,1356,1356
1357,Unified Ignis-ivis Council,5.0,1357,1357
1358,Unified Zylaris Council,5.0,1358,1358
1359,Scientific Thranite Union,5.0,1359,1359
1360,Scientific Sagittarian Union,5.0,1360,1360
1361,Unified Theta-perseis Council,5.0,1361,1361
1362,Scientific Aureliite Union,5.0,1362,1362
1363,Bulgite Commonwealth,5.0,1363,1363
1364,Merari Directorate,5.0,1364,1364
1365,Xenoid Directorate,5.0,1365,1365
1366,Consolidated Thranoid Worlds,5.0,1366,1366
1367,Unified Omicron-galacticis Council,5.0,1367,1367
1368,Consolidated Aureloid Worlds,5.0,1368,1368
1369,Scientific Xenis Union,5.0,1369,1369
1370,Persean Directorate,5.0,1370,1370
1371,Scientific Xenoid Union,5.0,1371,1371
1372,Theta-orionis Commonwealth,5.0,1372,1372
1373,Gamma-cygnis Directorate,5.0,1373,1373
1374,Cygnite Directorate,5.0,1374,1374
1375,Gaeian Directorate,5.0,1375,1375
1376,Merex Directorate,5.0,1376,1376
1377,Perseian Directorate,5.0,1377,1377
1378,Gamma-sagittariis Directorate,5.0,1378,1378
1379,Soloid Directorate,5.0,1379,1379
1380,Consolidated Valan Worlds,5.0,1380,1380
1381,Unified Kaelumoid Council,5.0,1381,1381
1382,Consolidated Kaelumari Worlds,5.0,1382,1382
1383,Sigma-orionis Commonwealth,5.0,1383,1383
1384,Allied Bulgite Systems,5.0,1384,1384
1385,Scientific Aurelex Union,5.0,1385,1385
1386,Zylaris Directorate,5.0,1386,1386
1387,Unified Sigma-galacticis Council,5.0,1387,1387
1388,Unified Zylarex Council,5.0,1388,1388
1389,Dominion of Thranari,5.0,1389,1389
1390,Unified Aurelian Council,5.0,1390,1390
1391,Aureloid Directorate,5.0,1391,1391
1392,Scientific Xenex Union,5.0,1392,1392
1393,Kaeluman Directorate,5.0,1393,1393
1394,Unified Bulgian Council,5.0,1394,1394
1395,Consolidated Omega-cygnis Worlds,5.0,1395,1395
1396,Unified Xenoid Council,5.0,1396,1396
1397,The Delta-bulgis Federation,5.0,1397,1397
1398,Republic of Meroid,5.0,1398,1398
1399,The Thranari Federation,5.0,1399,1399
1400,Consolidated Zelite Worlds,5.0,1400,1400
1401,Scientific Zylarex Union,5.0,1401,1401
1402,Unified Vesperite Council,5.0,1402,1402
1403,Bulgan Directorate,5.0,1403,1403
1404,Zelari Commonwealth,5.0,1404,1404
1405,Scientific Orionoid Union,5.0,1405,1405
1406,Unified Zelan Council,5.0,1406,1406
1407,Scientific Zylaris Union,5.0,1407,1407
1408,Thranari Directorate,5.0,1408,1408
1409,Scientific Orionex Union,5.0,1409,1409
1410,Aurelan Commonwealth,5.0,1410,1410
1411,Allied Zylarian Systems,5.0,1411,1411
1412,Scientific Orionari Union,5.0,1412,1412
1413,The Nu-cygnis Federation,5.0,1413,1413
1414,Consolidated Valian Worlds,5.0,1414,1414
